TimeStamp,,,,TimeStamp,,Specification,Values_0,Unit,TimeStamp_30,,Values_30
16:12:06.991 -> Flow rate: 66.67 L/m,,,,12:07.0,->,Flow rate:,66.67,L/m,01:07.5,,61.67
16:12:07.085 -> Flow rate: 66.67 L/m,,,,12:07.1,->,Flow rate:,66.67,L/m,01:07.6,,61.67
16:12:07.179 -> Flow rate: 58.33 L/m,,,,12:07.2,->,Flow rate:,58.33,L/m,01:07.7,,53.33
16:12:07.273 -> Flow rate: 66.67 L/m,,,,12:07.3,->,Flow rate:,66.67,L/m,01:07.8,,61.67
16:12:07.366 -> Flow rate: 66.67 L/m,,,,12:07.4,->,Flow rate:,66.67,L/m,01:07.9,,61.67
16:12:07.507 -> Flow rate: 58.33 L/m,,,,12:07.5,->,Flow rate:,58.33,L/m,01:08.0,,53.33
16:12:07.601 -> Flow rate: 66.67 L/m,,,,12:07.6,->,Flow rate:,66.67,L/m,01:08.1,,61.67
16:12:07.695 -> Flow rate: 66.67 L/m,,,,12:07.7,->,Flow rate:,66.67,L/m,01:08.2,,61.67
16:12:07.788 -> Flow rate: 66.67 L/m,,,,12:07.8,->,Flow rate:,66.67,L/m,01:08.3,,61.67
16:12:07.882 -> Flow rate: 66.67 L/m,,,,12:07.9,->,Flow rate:,66.67,L/m,01:08.4,,61.67
16:12:07.976 -> Flow rate: 66.67 L/m,,,,12:08.0,->,Flow rate:,66.67,L/m,01:08.5,,61.67
16:12:08.070 -> Flow rate: 58.33 L/m,,,,12:08.1,->,Flow rate:,58.33,L/m,01:08.6,,53.33
16:12:08.210 -> Flow rate: 66.67 L/m,,,,12:08.2,->,Flow rate:,66.67,L/m,01:08.7,,61.67
16:12:08.304 -> Flow rate: 58.33 L/m,,,,12:08.3,->,Flow rate:,58.33,L/m,01:08.8,,53.33
16:12:08.398 -> Flow rate: 66.67 L/m,,,,12:08.4,->,Flow rate:,66.67,L/m,01:08.9,,61.67
16:12:08.491 -> Flow rate: 58.33 L/m,,,,12:08.5,->,Flow rate:,58.33,L/m,01:09.0,,53.33
16:12:08.585 -> Flow rate: 66.67 L/m,,,,12:08.6,->,Flow rate:,66.67,L/m,01:09.1,,61.67
16:12:08.679 -> Flow rate: 66.67 L/m,,,,12:08.7,->,Flow rate:,66.67,L/m,01:09.2,,61.67
16:12:08.773 -> Flow rate: 66.67 L/m,,,,12:08.8,->,Flow rate:,66.67,L/m,01:09.3,,61.67
16:12:08.866 -> Flow rate: 66.67 L/m,,,,12:08.9,->,Flow rate:,66.67,L/m,01:09.4,,61.67
16:12:09.007 -> Flow rate: 66.67 L/m,,,,12:09.0,->,Flow rate:,66.67,L/m,01:09.5,,61.67
16:12:09.101 -> Flow rate: 66.67 L/m,,,,12:09.1,->,Flow rate:,66.67,L/m,01:09.6,,61.67
16:12:09.194 -> Flow rate: 66.67 L/m,,,,12:09.2,->,Flow rate:,66.67,L/m,01:09.7,,61.67
16:12:09.288 -> Flow rate: 66.67 L/m,,,,12:09.3,->,Flow rate:,66.67,L/m,01:09.8,,61.67
16:12:09.382 -> Flow rate: 66.67 L/m,,,,12:09.4,->,Flow rate:,66.67,L/m,01:09.9,,61.67
16:12:09.476 -> Flow rate: 66.67 L/m,,,,12:09.5,->,Flow rate:,66.67,L/m,01:10.0,,61.67
16:12:09.569 -> Flow rate: 66.67 L/m,,,,12:09.6,->,Flow rate:,66.67,L/m,01:10.1,,61.67
16:12:09.710 -> Flow rate: 66.67 L/m,,,,12:09.7,->,Flow rate:,66.67,L/m,01:10.2,,61.67
16:12:09.804 -> Flow rate: 66.67 L/m,,,,12:09.8,->,Flow rate:,66.67,L/m,01:10.3,,61.67
16:12:09.883 -> Flow rate: 66.67 L/m,,,,12:09.9,->,Flow rate:,66.67,L/m,01:10.4,,61.67
16:12:09.976 -> Flow rate: 66.67 L/m,,,,12:10.0,->,Flow rate:,66.67,L/m,01:10.5,,61.67
16:12:10.070 -> Flow rate: 66.67 L/m,,,,12:10.1,->,Flow rate:,66.67,L/m,01:10.6,,61.67
16:12:10.164 -> Flow rate: 66.67 L/m,,,,12:10.2,->,Flow rate:,66.67,L/m,01:10.7,,61.67
16:12:10.304 -> Flow rate: 58.33 L/m,,,,12:10.3,->,Flow rate:,58.33,L/m,01:10.8,,53.33
16:12:10.398 -> Flow rate: 66.67 L/m,,,,12:10.4,->,Flow rate:,66.67,L/m,01:10.9,,61.67
16:12:10.492 -> Flow rate: 66.67 L/m,,,,12:10.5,->,Flow rate:,66.67,L/m,01:11.0,,61.67
16:12:10.586 -> Flow rate: 66.67 L/m,,,,12:10.6,->,Flow rate:,66.67,L/m,01:11.1,,61.67
16:12:10.679 -> Flow rate: 66.67 L/m,,,,12:10.7,->,Flow rate:,66.67,L/m,01:11.2,,61.67
16:12:10.773 -> Flow rate: 66.67 L/m,,,,12:10.8,->,Flow rate:,66.67,L/m,01:11.3,,61.67
16:12:10.867 -> Flow rate: 66.67 L/m,,,,12:10.9,->,Flow rate:,66.67,L/m,01:11.4,,61.67
16:12:11.007 -> Flow rate: 58.33 L/m,,,,12:11.0,->,Flow rate:,58.33,L/m,01:11.5,,53.33
16:12:11.101 -> Flow rate: 66.67 L/m,,,,12:11.1,->,Flow rate:,66.67,L/m,01:11.6,,61.67
16:12:11.196 -> Flow rate: 66.67 L/m,,,,12:11.2,->,Flow rate:,66.67,L/m,01:11.7,,61.67
16:12:11.290 -> Flow rate: 58.33 L/m,,,,12:11.3,->,Flow rate:,58.33,L/m,01:11.8,,53.33
16:12:11.383 -> Flow rate: 66.67 L/m,,,,12:11.4,->,Flow rate:,66.67,L/m,01:11.9,,61.67
16:12:11.477 -> Flow rate: 66.67 L/m,,,,12:11.5,->,Flow rate:,66.67,L/m,01:12.0,,61.67
16:12:11.571 -> Flow rate: 66.67 L/m,,,,12:11.6,->,Flow rate:,66.67,L/m,01:12.1,,61.67
16:12:11.711 -> Flow rate: 66.67 L/m,,,,12:11.7,->,Flow rate:,66.67,L/m,01:12.2,,61.67
16:12:11.805 -> Flow rate: 66.67 L/m,,,,12:11.8,->,Flow rate:,66.67,L/m,01:12.3,,61.67
16:12:11.899 -> Flow rate: 66.67 L/m,,,,12:11.9,->,Flow rate:,66.67,L/m,01:12.4,,61.67
16:12:11.993 -> Flow rate: 66.67 L/m,,,,12:12.0,->,Flow rate:,66.67,L/m,01:12.5,,61.67
16:12:12.087 -> Flow rate: 58.33 L/m,,,,12:12.1,->,Flow rate:,58.33,L/m,01:12.6,,53.33
16:12:12.180 -> Flow rate: 66.67 L/m,,,,12:12.2,->,Flow rate:,66.67,L/m,01:12.7,,61.67
16:12:12.274 -> Flow rate: 66.67 L/m,,,,12:12.3,->,Flow rate:,66.67,L/m,01:12.8,,61.67
16:12:12.368 -> Flow rate: 66.67 L/m,,,,12:12.4,->,Flow rate:,66.67,L/m,01:12.9,,61.67
16:12:12.510 -> Flow rate: 66.67 L/m,,,,12:12.5,->,Flow rate:,66.67,L/m,01:13.0,,61.67
16:12:12.604 -> Flow rate: 66.67 L/m,,,,12:12.6,->,Flow rate:,66.67,L/m,01:13.1,,61.67
16:12:12.697 -> Flow rate: 66.67 L/m,,,,12:12.7,->,Flow rate:,66.67,L/m,01:13.2,,61.67
16:12:12.791 -> Flow rate: 66.67 L/m,,,,12:12.8,->,Flow rate:,66.67,L/m,01:13.3,,61.67
16:12:12.885 -> Flow rate: 66.67 L/m,,,,12:12.9,->,Flow rate:,66.67,L/m,01:13.4,,61.67
16:12:12.978 -> Flow rate: 66.67 L/m,,,,12:13.0,->,Flow rate:,66.67,L/m,01:13.5,,61.67
16:12:13.072 -> Flow rate: 58.33 L/m,,,,12:13.1,->,Flow rate:,58.33,L/m,01:13.6,,53.33
16:12:13.166 -> Flow rate: 58.33 L/m,,,,12:13.2,->,Flow rate:,58.33,L/m,01:13.7,,53.33
16:12:13.307 -> Flow rate: 66.67 L/m,,,,12:13.3,->,Flow rate:,66.67,L/m,01:13.8,,61.67
16:12:13.400 -> Flow rate: 66.67 L/m,,,,12:13.4,->,Flow rate:,66.67,L/m,01:13.9,,61.67
16:12:13.494 -> Flow rate: 66.67 L/m,,,,12:13.5,->,Flow rate:,66.67,L/m,01:14.0,,61.67
16:12:13.588 -> Flow rate: 66.67 L/m,,,,12:13.6,->,Flow rate:,66.67,L/m,01:14.1,,61.67
16:12:13.682 -> Flow rate: 66.67 L/m,,,,12:13.7,->,Flow rate:,66.67,L/m,01:14.2,,61.67
16:12:13.775 -> Flow rate: 66.67 L/m,,,,12:13.8,->,Flow rate:,66.67,L/m,01:14.3,,61.67
16:12:13.870 -> Flow rate: 66.67 L/m,,,,12:13.9,->,Flow rate:,66.67,L/m,01:14.4,,61.67
16:12:14.010 -> Flow rate: 66.67 L/m,,,,12:14.0,->,Flow rate:,66.67,L/m,01:14.5,,61.67
16:12:14.104 -> Flow rate: 66.67 L/m,,,,12:14.1,->,Flow rate:,66.67,L/m,01:14.6,,61.67
16:12:14.198 -> Flow rate: 58.33 L/m,,,,12:14.2,->,Flow rate:,58.33,L/m,01:14.7,,53.33
16:12:14.292 -> Flow rate: 66.67 L/m,,,,12:14.3,->,Flow rate:,66.67,L/m,01:14.8,,61.67
16:12:14.385 -> Flow rate: 66.67 L/m,,,,12:14.4,->,Flow rate:,66.67,L/m,01:14.9,,61.67
16:12:14.479 -> Flow rate: 66.67 L/m,,,,12:14.5,->,Flow rate:,66.67,L/m,01:15.0,,61.67
16:12:14.573 -> Flow rate: 66.67 L/m,,,,12:14.6,->,Flow rate:,66.67,L/m,01:15.1,,61.67
16:12:14.667 -> Flow rate: 58.33 L/m,,,,12:14.7,->,Flow rate:,58.33,L/m,01:15.2,,53.33
16:12:14.807 -> Flow rate: 66.67 L/m,,,,12:14.8,->,Flow rate:,66.67,L/m,01:15.3,,61.67
16:12:14.901 -> Flow rate: 58.33 L/m,,,,12:14.9,->,Flow rate:,58.33,L/m,01:15.4,,53.33
16:12:14.995 -> Flow rate: 66.67 L/m,,,,12:15.0,->,Flow rate:,66.67,L/m,01:15.5,,61.67
16:12:15.089 -> Flow rate: 66.67 L/m,,,,12:15.1,->,Flow rate:,66.67,L/m,01:15.6,,61.67
16:12:15.182 -> Flow rate: 66.67 L/m,,,,12:15.2,->,Flow rate:,66.67,L/m,01:15.7,,61.67
16:12:15.276 -> Flow rate: 66.67 L/m,,,,12:15.3,->,Flow rate:,66.67,L/m,01:15.8,,61.67
16:12:15.370 -> Flow rate: 66.67 L/m,,,,12:15.4,->,Flow rate:,66.67,L/m,01:15.9,,61.67
16:12:15.511 -> Flow rate: 66.67 L/m,,,,12:15.5,->,Flow rate:,66.67,L/m,01:16.0,,61.67
16:12:15.605 -> Flow rate: 66.67 L/m,,,,12:15.6,->,Flow rate:,66.67,L/m,01:16.1,,61.67
16:12:15.698 -> Flow rate: 58.33 L/m,,,,12:15.7,->,Flow rate:,58.33,L/m,01:16.2,,53.33
16:12:15.792 -> Flow rate: 66.67 L/m,,,,12:15.8,->,Flow rate:,66.67,L/m,01:16.3,,61.67
16:12:15.886 -> Flow rate: 66.67 L/m,,,,12:15.9,->,Flow rate:,66.67,L/m,01:16.4,,61.67
16:12:15.980 -> Flow rate: 66.67 L/m,,,,12:16.0,->,Flow rate:,66.67,L/m,01:16.5,,61.67
16:12:16.074 -> Flow rate: 66.67 L/m,,,,12:16.1,->,Flow rate:,66.67,L/m,01:16.6,,61.67
16:12:16.168 -> Flow rate: 66.67 L/m,,,,12:16.2,->,Flow rate:,66.67,L/m,01:16.7,,61.67
16:12:16.309 -> Flow rate: 58.33 L/m,,,,12:16.3,->,Flow rate:,58.33,L/m,01:16.8,,53.33
16:12:16.402 -> Flow rate: 66.67 L/m,,,,12:16.4,->,Flow rate:,66.67,L/m,01:16.9,,61.67
16:12:16.496 -> Flow rate: 66.67 L/m,,,,12:16.5,->,Flow rate:,66.67,L/m,01:17.0,,61.67
16:12:16.591 -> Flow rate: 58.33 L/m,,,,12:16.6,->,Flow rate:,58.33,L/m,01:17.1,,53.33
16:12:16.684 -> Flow rate: 66.67 L/m,,,,12:16.7,->,Flow rate:,66.67,L/m,01:17.2,,61.67
16:12:16.778 -> Flow rate: 58.33 L/m,,,,12:16.8,->,Flow rate:,58.33,L/m,01:17.3,,53.33
16:12:16.872 -> Flow rate: 58.33 L/m,,,,12:16.9,->,Flow rate:,58.33,L/m,01:17.4,,53.33
16:12:17.013 -> Flow rate: 58.33 L/m,,,,12:17.0,->,Flow rate:,58.33,L/m,01:17.5,,53.33
16:12:17.107 -> Flow rate: 50.00 L/m,,,,12:17.1,->,Flow rate:,50,L/m,01:17.6,,45
16:12:17.200 -> Flow rate: 58.33 L/m,,,,12:17.2,->,Flow rate:,58.33,L/m,01:17.7,,53.33
16:12:17.294 -> Flow rate: 58.33 L/m,,,,12:17.3,->,Flow rate:,58.33,L/m,01:17.8,,53.33
16:12:17.388 -> Flow rate: 58.33 L/m,,,,12:17.4,->,Flow rate:,58.33,L/m,01:17.9,,53.33
16:12:17.481 -> Flow rate: 66.67 L/m,,,,12:17.5,->,Flow rate:,66.67,L/m,01:18.0,,61.67
16:12:17.575 -> Flow rate: 66.67 L/m,,,,12:17.6,->,Flow rate:,66.67,L/m,01:18.1,,61.67
16:12:17.669 -> Flow rate: 58.33 L/m,,,,12:17.7,->,Flow rate:,58.33,L/m,01:18.2,,53.33
16:12:17.810 -> Flow rate: 66.67 L/m,,,,12:17.8,->,Flow rate:,66.67,L/m,01:18.3,,61.67
16:12:17.903 -> Flow rate: 66.67 L/m,,,,12:17.9,->,Flow rate:,66.67,L/m,01:18.4,,61.67
16:12:17.998 -> Flow rate: 66.67 L/m,,,,12:18.0,->,Flow rate:,66.67,L/m,01:18.5,,61.67
16:12:18.091 -> Flow rate: 66.67 L/m,,,,12:18.1,->,Flow rate:,66.67,L/m,01:18.6,,61.67
16:12:18.185 -> Flow rate: 66.67 L/m,,,,12:18.2,->,Flow rate:,66.67,L/m,01:18.7,,61.67
16:12:18.279 -> Flow rate: 66.67 L/m,,,,12:18.3,->,Flow rate:,66.67,L/m,01:18.8,,61.67
16:12:18.373 -> Flow rate: 66.67 L/m,,,,12:18.4,->,Flow rate:,66.67,L/m,01:18.9,,61.67
16:12:18.466 -> Flow rate: 66.67 L/m,,,,12:18.5,->,Flow rate:,66.67,L/m,01:19.0,,61.67
16:12:18.607 -> Flow rate: 66.67 L/m,,,,12:18.6,->,Flow rate:,66.67,L/m,01:19.1,,61.67
16:12:18.701 -> Flow rate: 66.67 L/m,,,,12:18.7,->,Flow rate:,66.67,L/m,01:19.2,,61.67
16:12:18.794 -> Flow rate: 66.67 L/m,,,,12:18.8,->,Flow rate:,66.67,L/m,01:19.3,,61.67
16:12:18.888 -> Flow rate: 66.67 L/m,,,,12:18.9,->,Flow rate:,66.67,L/m,01:19.4,,61.67
16:12:18.982 -> Flow rate: 66.67 L/m,,,,12:19.0,->,Flow rate:,66.67,L/m,01:19.5,,61.67
16:12:19.076 -> Flow rate: 66.67 L/m,,,,12:19.1,->,Flow rate:,66.67,L/m,01:19.6,,61.67
16:12:19.169 -> Flow rate: 58.33 L/m,,,,12:19.2,->,Flow rate:,58.33,L/m,01:19.7,,53.33
16:12:19.313 -> Flow rate: 75.00 L/m,,,,12:19.3,->,Flow rate:,75,L/m,01:19.8,,70
16:12:19.404 -> Flow rate: 58.33 L/m,,,,12:19.4,->,Flow rate:,58.33,L/m,01:19.9,,53.33
16:12:19.498 -> Flow rate: 66.67 L/m,,,,12:19.5,->,Flow rate:,66.67,L/m,01:20.0,,61.67
16:12:19.592 -> Flow rate: 66.67 L/m,,,,12:19.6,->,Flow rate:,66.67,L/m,01:20.1,,61.67
16:12:19.686 -> Flow rate: 66.67 L/m,,,,12:19.7,->,Flow rate:,66.67,L/m,01:20.2,,61.67
16:12:19.779 -> Flow rate: 66.67 L/m,,,,12:19.8,->,Flow rate:,66.67,L/m,01:20.3,,61.67
16:12:19.873 -> Flow rate: 58.33 L/m,,,,12:19.9,->,Flow rate:,58.33,L/m,01:20.4,,53.33
16:12:19.967 -> Flow rate: 66.67 L/m,,,,12:20.0,->,Flow rate:,66.67,L/m,01:20.5,,61.67
16:12:20.108 -> Flow rate: 66.67 L/m,,,,12:20.1,->,Flow rate:,66.67,L/m,01:20.6,,61.67
16:12:20.201 -> Flow rate: 66.67 L/m,,,,12:20.2,->,Flow rate:,66.67,L/m,01:20.7,,61.67
16:12:20.295 -> Flow rate: 66.67 L/m,,,,12:20.3,->,Flow rate:,66.67,L/m,01:20.8,,61.67
16:12:20.389 -> Flow rate: 66.67 L/m,,,,12:20.4,->,Flow rate:,66.67,L/m,01:20.9,,61.67
16:12:20.482 -> Flow rate: 66.67 L/m,,,,12:20.5,->,Flow rate:,66.67,L/m,01:21.0,,61.67
16:12:20.576 -> Flow rate: 58.33 L/m,,,,12:20.6,->,Flow rate:,58.33,L/m,01:21.1,,53.33
16:12:20.670 -> Flow rate: 66.67 L/m,,,,12:20.7,->,Flow rate:,66.67,L/m,01:21.2,,61.67
16:12:20.764 -> Flow rate: 58.33 L/m,,,,12:20.8,->,Flow rate:,58.33,L/m,01:21.3,,53.33
16:12:20.905 -> Flow rate: 66.67 L/m,,,,12:20.9,->,Flow rate:,66.67,L/m,01:21.4,,61.67
16:12:20.999 -> Flow rate: 58.33 L/m,,,,12:21.0,->,Flow rate:,58.33,L/m,01:21.5,,53.33
16:12:21.092 -> Flow rate: 66.67 L/m,,,,12:21.1,->,Flow rate:,66.67,L/m,01:21.6,,61.67
16:12:21.186 -> Flow rate: 66.67 L/m,,,,12:21.2,->,Flow rate:,66.67,L/m,01:21.7,,61.67
16:12:21.280 -> Flow rate: 66.67 L/m,,,,12:21.3,->,Flow rate:,66.67,L/m,01:21.8,,61.67
16:12:21.374 -> Flow rate: 66.67 L/m,,,,12:21.4,->,Flow rate:,66.67,L/m,01:21.9,,61.67
16:12:21.467 -> Flow rate: 58.33 L/m,,,,12:21.5,->,Flow rate:,58.33,L/m,01:22.0,,53.33
16:12:21.608 -> Flow rate: 66.67 L/m,,,,12:21.6,->,Flow rate:,66.67,L/m,01:22.1,,61.67
16:12:21.702 -> Flow rate: 58.33 L/m,,,,12:21.7,->,Flow rate:,58.33,L/m,01:22.2,,53.33
16:12:21.795 -> Flow rate: 66.67 L/m,,,,12:21.8,->,Flow rate:,66.67,L/m,01:22.3,,61.67
16:12:21.889 -> Flow rate: 66.67 L/m,,,,12:21.9,->,Flow rate:,66.67,L/m,01:22.4,,61.67
16:12:21.983 -> Flow rate: 66.67 L/m,,,,12:22.0,->,Flow rate:,66.67,L/m,01:22.5,,61.67
16:12:22.077 -> Flow rate: 58.33 L/m,,,,12:22.1,->,Flow rate:,58.33,L/m,01:22.6,,53.33
16:12:22.171 -> Flow rate: 66.67 L/m,,,,12:22.2,->,Flow rate:,66.67,L/m,01:22.7,,61.67
16:12:22.265 -> Flow rate: 58.33 L/m,,,,12:22.3,->,Flow rate:,58.33,L/m,01:22.8,,53.33
16:12:22.405 -> Flow rate: 66.67 L/m,,,,12:22.4,->,Flow rate:,66.67,L/m,01:22.9,,61.67
16:12:22.499 -> Flow rate: 66.67 L/m,,,,12:22.5,->,Flow rate:,66.67,L/m,01:23.0,,61.67
16:12:22.593 -> Flow rate: 58.33 L/m,,,,12:22.6,->,Flow rate:,58.33,L/m,01:23.1,,53.33
16:12:22.687 -> Flow rate: 58.33 L/m,,,,12:22.7,->,Flow rate:,58.33,L/m,01:23.2,,53.33
16:12:22.796 -> Flow rate: 66.67 L/m,,,,12:22.8,->,Flow rate:,66.67,L/m,01:23.3,,61.67
16:12:22.890 -> Flow rate: 58.33 L/m,,,,12:22.9,->,Flow rate:,58.33,L/m,01:23.4,,53.33
16:12:22.983 -> Flow rate: 58.33 L/m,,,,12:23.0,->,Flow rate:,58.33,L/m,01:23.5,,53.33
16:12:23.077 -> Flow rate: 58.33 L/m,,,,12:23.1,->,Flow rate:,58.33,L/m,01:23.6,,53.33
16:12:23.171 -> Flow rate: 58.33 L/m,,,,12:23.2,->,Flow rate:,58.33,L/m,01:23.7,,53.33
16:12:23.312 -> Flow rate: 66.67 L/m,,,,12:23.3,->,Flow rate:,66.67,L/m,01:23.8,,61.67
16:12:23.405 -> Flow rate: 58.33 L/m,,,,12:23.4,->,Flow rate:,58.33,L/m,01:23.9,,53.33
16:12:23.499 -> Flow rate: 66.67 L/m,,,,12:23.5,->,Flow rate:,66.67,L/m,01:24.0,,61.67
16:12:23.577 -> Flow rate: 66.67 L/m,,,,12:23.6,->,Flow rate:,66.67,L/m,01:24.1,,61.67
16:12:23.671 -> Flow rate: 66.67 L/m,,,,12:23.7,->,Flow rate:,66.67,L/m,01:24.2,,61.67
16:12:23.765 -> Flow rate: 66.67 L/m,,,,12:23.8,->,Flow rate:,66.67,L/m,01:24.3,,61.67
16:12:23.906 -> Flow rate: 66.67 L/m,,,,12:23.9,->,Flow rate:,66.67,L/m,01:24.4,,61.67
16:12:23.999 -> Flow rate: 66.67 L/m,,,,12:24.0,->,Flow rate:,66.67,L/m,01:24.5,,61.67
16:12:24.093 -> Flow rate: 66.67 L/m,,,,12:24.1,->,Flow rate:,66.67,L/m,01:24.6,,61.67
16:12:24.187 -> Flow rate: 66.67 L/m,,,,12:24.2,->,Flow rate:,66.67,L/m,01:24.7,,61.67
16:12:24.281 -> Flow rate: 58.33 L/m,,,,12:24.3,->,Flow rate:,58.33,L/m,01:24.8,,53.33
16:12:24.374 -> Flow rate: 66.67 L/m,,,,12:24.4,->,Flow rate:,66.67,L/m,01:24.9,,61.67
16:12:24.468 -> Flow rate: 66.67 L/m,,,,12:24.5,->,Flow rate:,66.67,L/m,01:25.0,,61.67
16:12:24.609 -> Flow rate: 58.33 L/m,,,,12:24.6,->,Flow rate:,58.33,L/m,01:25.1,,53.33
16:12:24.702 -> Flow rate: 66.67 L/m,,,,12:24.7,->,Flow rate:,66.67,L/m,01:25.2,,61.67
16:12:24.797 -> Flow rate: 66.67 L/m,,,,12:24.8,->,Flow rate:,66.67,L/m,01:25.3,,61.67
16:12:24.891 -> Flow rate: 66.67 L/m,,,,12:24.9,->,Flow rate:,66.67,L/m,01:25.4,,61.67
16:12:24.984 -> Flow rate: 66.67 L/m,,,,12:25.0,->,Flow rate:,66.67,L/m,01:25.5,,61.67
16:12:25.078 -> Flow rate: 66.67 L/m,,,,12:25.1,->,Flow rate:,66.67,L/m,01:25.6,,61.67
16:12:25.172 -> Flow rate: 66.67 L/m,,,,12:25.2,->,Flow rate:,66.67,L/m,01:25.7,,61.67
16:12:25.266 -> Flow rate: 66.67 L/m,,,,12:25.3,->,Flow rate:,66.67,L/m,01:25.8,,61.67
16:12:25.406 -> Flow rate: 66.67 L/m,,,,12:25.4,->,Flow rate:,66.67,L/m,01:25.9,,61.67
16:12:25.500 -> Flow rate: 66.67 L/m,,,,12:25.5,->,Flow rate:,66.67,L/m,01:26.0,,61.67
16:12:25.594 -> Flow rate: 66.67 L/m,,,,12:25.6,->,Flow rate:,66.67,L/m,01:26.1,,61.67
16:12:25.687 -> Flow rate: 66.67 L/m,,,,12:25.7,->,Flow rate:,66.67,L/m,01:26.2,,61.67
16:12:25.781 -> Flow rate: 66.67 L/m,,,,12:25.8,->,Flow rate:,66.67,L/m,01:26.3,,61.67
16:12:25.875 -> Flow rate: 66.67 L/m,,,,12:25.9,->,Flow rate:,66.67,L/m,01:26.4,,61.67
16:12:25.969 -> Flow rate: 58.33 L/m,,,,12:26.0,->,Flow rate:,58.33,L/m,01:26.5,,53.33
16:12:26.062 -> Flow rate: 66.67 L/m,,,,12:26.1,->,Flow rate:,66.67,L/m,01:26.6,,61.67
16:12:26.204 -> Flow rate: 66.67 L/m,,,,12:26.2,->,Flow rate:,66.67,L/m,01:26.7,,61.67
16:12:26.298 -> Flow rate: 66.67 L/m,,,,12:26.3,->,Flow rate:,66.67,L/m,01:26.8,,61.67
16:12:26.392 -> Flow rate: 66.67 L/m,,,,12:26.4,->,Flow rate:,66.67,L/m,01:26.9,,61.67
16:12:26.485 -> Flow rate: 66.67 L/m,,,,12:26.5,->,Flow rate:,66.67,L/m,01:27.0,,61.67
16:12:26.579 -> Flow rate: 66.67 L/m,,,,12:26.6,->,Flow rate:,66.67,L/m,01:27.1,,61.67
16:12:26.673 -> Flow rate: 66.67 L/m,,,,12:26.7,->,Flow rate:,66.67,L/m,01:27.2,,61.67
16:12:26.767 -> Flow rate: 58.33 L/m,,,,12:26.8,->,Flow rate:,58.33,L/m,01:27.3,,53.33
16:12:26.907 -> Flow rate: 66.67 L/m,,,,12:26.9,->,Flow rate:,66.67,L/m,01:27.4,,61.67
16:12:27.001 -> Flow rate: 66.67 L/m,,,,12:27.0,->,Flow rate:,66.67,L/m,01:27.5,,61.67
16:12:27.095 -> Flow rate: 66.67 L/m,,,,12:27.1,->,Flow rate:,66.67,L/m,01:27.6,,61.67
16:12:27.189 -> Flow rate: 66.67 L/m,,,,12:27.2,->,Flow rate:,66.67,L/m,01:27.7,,61.67
16:12:27.283 -> Flow rate: 58.33 L/m,,,,12:27.3,->,Flow rate:,58.33,L/m,01:27.8,,53.33
16:12:27.376 -> Flow rate: 66.67 L/m,,,,12:27.4,->,Flow rate:,66.67,L/m,01:27.9,,61.67
16:12:27.470 -> Flow rate: 58.33 L/m,,,,12:27.5,->,Flow rate:,58.33,L/m,01:28.0,,53.33
16:12:27.611 -> Flow rate: 66.67 L/m,,,,12:27.6,->,Flow rate:,66.67,L/m,01:28.1,,61.67
16:12:27.705 -> Flow rate: 58.33 L/m,,,,12:27.7,->,Flow rate:,58.33,L/m,01:28.2,,53.33
16:12:27.799 -> Flow rate: 66.67 L/m,,,,12:27.8,->,Flow rate:,66.67,L/m,01:28.3,,61.67
16:12:27.892 -> Flow rate: 66.67 L/m,,,,12:27.9,->,Flow rate:,66.67,L/m,01:28.4,,61.67
16:12:27.986 -> Flow rate: 58.33 L/m,,,,12:28.0,->,Flow rate:,58.33,L/m,01:28.5,,53.33
16:12:28.080 -> Flow rate: 66.67 L/m,,,,12:28.1,->,Flow rate:,66.67,L/m,01:28.6,,61.67
16:12:28.174 -> Flow rate: 58.33 L/m,,,,12:28.2,->,Flow rate:,58.33,L/m,01:28.7,,53.33
16:12:28.267 -> Flow rate: 58.33 L/m,,,,12:28.3,->,Flow rate:,58.33,L/m,01:28.8,,53.33
16:12:28.408 -> Flow rate: 58.33 L/m,,,,12:28.4,->,Flow rate:,58.33,L/m,01:28.9,,53.33
16:12:28.502 -> Flow rate: 58.33 L/m,,,,12:28.5,->,Flow rate:,58.33,L/m,01:29.0,,53.33
16:12:28.596 -> Flow rate: 58.33 L/m,,,,12:28.6,->,Flow rate:,58.33,L/m,01:29.1,,53.33
16:12:28.689 -> Flow rate: 66.67 L/m,,,,12:28.7,->,Flow rate:,66.67,L/m,01:29.2,,61.67
16:12:28.783 -> Flow rate: 66.67 L/m,,,,12:28.8,->,Flow rate:,66.67,L/m,01:29.3,,61.67
16:12:28.877 -> Flow rate: 66.67 L/m,,,,12:28.9,->,Flow rate:,66.67,L/m,01:29.4,,61.67
16:12:28.971 -> Flow rate: 66.67 L/m,,,,12:29.0,->,Flow rate:,66.67,L/m,01:29.5,,61.67
16:12:29.112 -> Flow rate: 66.67 L/m,,,,12:29.1,->,Flow rate:,66.67,L/m,01:29.6,,61.67
16:12:29.205 -> Flow rate: 66.67 L/m,,,,12:29.2,->,Flow rate:,66.67,L/m,01:29.7,,61.67
16:12:29.299 -> Flow rate: 58.33 L/m,,,,12:29.3,->,Flow rate:,58.33,L/m,01:29.8,,53.33
16:12:29.393 -> Flow rate: 66.67 L/m,,,,12:29.4,->,Flow rate:,66.67,L/m,01:29.9,,61.67
